Region;ort;gid;GENERATION;Informant;PAM-Wert_WSS;Kontrollwert_WSS;PAM-Wert_NOSO;Kontrollwert_NOSO;PAM-Wert_NOT;Kontrollwert_NOT;PAM-Wert_INT;Kontrollwert_INT;PAM-Wert_FG;Kontrollwert_FG;PAM-Wert_WSD;Kontrollwert_WSD
Rheinfränkisch;Heidelberg;132828;alt;HDALT1;0.93;;0.97;;-;-;1.77;;2.41;;2.26;
Rheinfränkisch;Heidelberg;132828;jung;HDJUNG1;0.97;;0.77;;-;-;1.37;;1.79;;1.86;
Rheinfränkisch;Kaiserslautern;100327;mittel;KL3;0.72;0.6;1.09;0.8;-;-;1.35;1;2.19;1.6;2.03;1.6
Rheinfränkisch;Kaiserslautern;100327;alt;KLALT1;1.13;0.7;1.44;1;-;-;1.87;1.4;1.69;1.2;2.24;1.9
Rheinfränkisch;Kaiserslautern;100327;jung;KLJUNG1;0.65;0.3;0.9;0.5;-;-;1.66;0.9;2.33;1.7;2.01;1.8
Rheinfränkisch;Erbach;98214;alt;ERBALT1;1.32;1.3;1.53;1.3;-;-;2.37;1.8;2.88;2.1;2.59;2.2
Rheinfränkisch;Erbach;98214;mittel;ERB2;1.69;1.3;1.07;1;-;-;2.2;1.7;3.01;2.1;2.12;2.1
Rheinfränkisch;Erbach;98214;jung;ERBJUNG1;1.49;0.9;1.21;0.7;-;-;2.18;1.6;2.67;2;2.48;2
Rheinfränkisch;Reinheim;99678;alt;DAALT2;1.18;1.1;1.36;1.2;-;-;2.1;1.6;2.91;2;2.39;2.1
Rheinfränkisch;Reinheim;99678;mittel;DA1;1.23;1;0.94;0.9;-;1.2;1.68;1.4;2.48;1.9;2.18;1.9
Rheinfränkisch;Reinheim;99678;jung;DAJUNG1;0.74;0.8;0.7;0.7;-;-;2;1.3;1.81;1.3;2.02;1.5
Rheinfränkisch-Moselfränkisch;Kirkel;98078;mittel;HOM1;1.05;;1.14;;-;-;1.45;;1.78;;1.86;
Rheinfränkisch-Moselfränkisch;Kirkel;98078;alt;HOMALT1;-;-;1.21;;-;-;1.13;;1.75;;2;
Rheinfränkisch-Moselfränkisch;Kirkel;98078;jung;HOMJUNG1;0.65;;0.89;;-;-;1;;1.9;;2.03;
Rheinfränkisch-Moselfränkisch;Merzig;99773;mittel;MZG5;1.75;;1.61;;1.7;;1.87;;2.31;;2.74;
Rheinfränkisch-Moselfränkisch;Merzig;99773;alt;MZGALT2;1.19;;1.08;;-;-;1.51;;1.84;;2.42;
Rheinfränkisch-Moselfränkisch;Merzig;99773;jung;MZGJUNG1;1.1;;1.16;;-;-;1.42;;2;;1.36;
Rheinfränkisch-Moselfränkisch-Zentralhessisch;Mainz;95700;mittel;MZ7;1.08;0.78;0.8;0.55;1.18;0.58;1.51;1.04;1.59;1.2;1.82;1.62
Rheinfränkisch-Moselfränkisch-Zentralhessisch;Mainz;95700;alt;MZALT1;0.74;0.5;1.04;0.38;-;-;1.63;;2.25;;2.16;1.79
Rheinfränkisch-Moselfränkisch-Zentralhessisch;Mainz;95700;jung;MZJUNG1;0.99;;0.58;0.32;-;-;1.81;;1.51;;1.62;
Rheinfränkisch-Ostfränkisch-Schwäbisch;Heilbronn;128209;mittel;HN8;0.95;;1.05;;1.71;;1.68;;2.29;;2.02;
Rheinfränkisch-Ostfränkisch-Schwäbisch;Heilbronn;128209;alt;HNALT2;1.18;;1.45;;-;-;1.7;;2.04;;2.48;
Rheinfränkisch-Ostfränkisch-Schwäbisch;Heilbronn;128209;jung;HNJUNG1;0.9;;1.39;;-;-;1.86;;1.68;;1.91;
Rheinfränkisch-Zentralhessisch-Moselfränkisch;Frankfurt am Main;97616;alt;FALT1;1.36;1;0.94;0.8;-;-;2.01;1.8;1.97;1.9;2.23;2
Rheinfränkisch-Zentralhessisch-Moselfränkisch;Frankfurt am Main;97616;mittel;F1;1.21;0.9;1.01;0.7;-;1.4;1.57;1.4;2.07;1.8;1.84;1.8
Rheinfränkisch-Zentralhessisch-Moselfränkisch;Frankfurt am Main;97616;jung;FJUNG1;0.96;0.6;1.06;0.7;-;-;1.96;1;1.78;1.1;1.5;1.3
Niederfränkisch;Kleve;101443;mittel;KLEV3;0.58;;0.8;;1.42;;1.55;;1.86;;2.75;
Niederfränkisch;Kleve;101443;alt;KLEVALT;1.03;;0.74;;-;-;1.45;;2.61;;3.13;
Niederfränkisch;Kleve;101443;jung;KLEVJUNG1;0.89;;0.78;;-;-;1.38;;1.12;;-;n.d.
Nordhessisch;Homberg;96619;mittel;HR4;1.39;0.9;1.09;0.8;-;-;1.66;1.1;1.65;1.08;2.29;1.9
Nordhessisch;Homberg;96619;alt;HRALT2;0.96;0.7;0.88;0.8;-;-;1.18;0.8;1.22;0.9;1.93;1.7
Nordhessisch;Homberg;96619;jung;HRJUNG1;0.8;0.4;0.78;0.4;-;-;1.65;0.9;1.49;1;1.28;1
Nordhessisch;Kassel;95463;mittel;KS1;0.82;;0.67;;1.68;;1.75;;1.59;;-;n.d.
Nordhessisch;Kassel;95463;alt;KSALT;0.86;;0.95;;-;-;1.61;;1.28;;1.68;
Nordhessisch;Kassel;95463;jung;KSJUNG;0.98;;1.01;;-;-;1.39;;1.43;;-;n.d.
Zentralhessisch;Bad Nauheim;99815;alt;FBALT2;1.32;1.2;1.24;1;-;-;2.67;2;2.54;2.1;2.53;2.2
Zentralhessisch;Bad Nauheim;99815;mittel;FB1;0.73;0.6;0.74;0.6;-;0.9;1.5;1.1;1.74;1.3;2.28;1.8
Zentralhessisch;Bad Nauheim;99815;jung;FBJUNG1;1.42;0.7;1.43;0.8;-;-;1.88;1;2.06;1.1;1.76;1.5
Zentralhessisch;Büdingen;99973;alt;BÜDALT1;1.3;1.2;1.49;1.3;-;-;2.15;2.1;2.37;2.2;2.41;2.2
Zentralhessisch;Büdingen;99973;mittel;BÜD3;1.14;0.9;1.08;0.8;-;-;1.69;1.4;1.91;1.6;2.27;2.1
Zentralhessisch;Büdingen;99973;jung;BÜDJUNG1;1.02;0.7;0.84;0.6;-;-;1.57;0.9;1.56;1;2;1.7
Zentralhessisch;Gießen;96713;alt;GIALT1;1.55;1.1;1.36;1;-;-;1.94;1.3;-;-;2.41;2
Zentralhessisch;Gießen;96713;mittel;GI11;1.53;1.1;1.44;0.8;-;-;2.23;1.2;2.08;1.3;2.93;2.2
Zentralhessisch;Gießen;96713;jung;GIJUNG;1.31;0.6;1.45;0.7;-;-;2.06;1;2.14;1.1;1.97;1.7
Zentralhessisch;Ulrichstein;94901;alt;VBALT2;2.1;1.4;1.97;1.4;-;-;2.16;1.7;3.08;2.5;3.24;2.9
Zentralhessisch;Ulrichstein;94901;mittel;VB2;1.4;1;1.44;1;-;-;1.8;1.4;2.87;2.5;3.08;2.6
Zentralhessisch;Ulrichstein;94901;jung;VBJUNG1;1.48;1.1;1.56;1;-;-;2.23;1.3;3.01;2.5;2.93;2.6
Osthessisch;Hofbieber;100236;alt;FDALT3;1.05;1;1.06;0.9;-;-;1.44;1.1;2.34;2;2.47;2.3
